"1155",0.835073068893529,"2016-05-30","601939",1.76516140469246
"578",1.2396694214876,"2016-05-30","600011",1.76492673435689
"1139",0.970873786407771,"2016-05-30","601857",1.76492673435689
"1",0.778967867575463,"2016-05-30","000001",1.76438546459203
"579",1.20967741935485,"2016-05-30","600015",1.76415079425646
"1121",1.5180265654649,"2016-05-30","601668",1.76415079425646
"1034",1.55038759689923,"2016-05-30","600886",1.76179086550477
"600",1.28865979381444,"2016-05-30","600050",1.75788228234718
"113",3.55462624150549,"2016-05-30","000732",1.75275656389615
"1040",0.733496332518336,"2016-05-30","600900",1.75122731378538
"634",1.16455696202532,"2016-05-30","600104",1.745605568982
"1109",0.932400932400933,"2016-05-30","601398",1.74441753211124
"1138",1.9718309859155,"2016-05-30","601818",1.74441753211124
"1148",0.993377483443702,"2016-05-30","601899",1.7385611169723
"589",1.16959064327486,"2016-05-30","600027",1.73633659703781
"567",1.13636363636363,"2016-05-30","510180",1.70997097965322
"783",1.07270560190703,"2016-05-30","600377",1.66504040477736
